Participant Number,Swing Number,Swing Start Time (s),Swing End Time (s),FPV Impact Frame,FPV Impact Timestamp (s),Front-View Impact Frame,Front-View Impact Timestamp (s),Timestamp Offset (s),Total Distance (m),Carry Distance (m),Ball Speed (m/s),Club Speed (m/s),Launch Angle (deg),Horizontal Launch Angle (deg),Clubface Angle (deg),Backspin (rpm),Sidespin (rpm),Lateral Distance (m)
1,1,1758243919.128,1758243922.061333,-,-,68,1758243921.394667,-,8.97,5.35,11.2,7.8,11.7,R 12.6,18.6,1623,57,R 2.0
1,2,1758243933.028,1758243936.161333,-,-,69,1758243935.328,-,10.93,5.42,11.8,9.6,8.9,R 62.2,40.2,1248,293,R 6.3
1,3,1758243944.528,1758243947.761333,-,-,72,1758243946.928,-,24.71,28.33,28.6,16.7,10,R 42.7,42.9,2642,433,R 22.6
1,4,1758243973.728,1758243976.994667,-,-,75,1758243976.228,-,40.36,31.2,21.4,15.6,19.9,R 3.4,3,4094,126,R 2.2
1,5,1758243986.961333,1758243990.228,-,-,77,1758243989.528,-,27.7,29.27,20.23,15.1,21.5,R 5.6,5.1,2701,190,R 4.3
1,6,1758244001.528,1758244004.794667,-,-,75,1758244004.028,-,46.67,27.1,22.5,16.9,22.3,R 5.1,4.4,2832,125,R 5.3
1,7,1758244016.128,1758244019.461333,-,-,77,1758244018.694667,-,26.67,13.23,22.9,18.7,5.4,R 12.3,11.4,1440,479,R 6.2
1,8,1758244093.928,1758244097.028,-,-,71,1758244096.294667,-,29.6,21.75,19.8,14,14.7,L 2.4,-2.3,3201,90,L 1.3
1,9,1758244288.528,1758244291.861333,50,1758244289.682472,76,1758244291.061333,1.38,9.77,3.73,15,12.2,1.9,R 7.8,7.2,699,244,R 1.4
1,10,1758244301.228,1758244304.394667,48,1758244302.232472,72,1758244303.628,1.4,31.65,22.47,20.3,14.2,14.4,R 3.9,2.5,3212,122,R 2.6
1,11,1758244315.428,1758244318.594667,48,1758244316.482472,73,1758244317.861333,1.38,36.92,26.89,21.7,15.2,16.6,R 7.1,7.9,3377,476,R 6.3
1,12,1758244332.428,1758244335.761333,52,1758244333.632472,78,1758244335.028,1.4,13.92,6.47,17.3,11.7,5.9,R 0.6,1.8,969,190,R 0.2
1,13,1758244345.728,1758244348.928,48,1758244346.782472,73,1758244348.161333,1.38,28.89,18.63,21.5,16.5,9.9,R 4.6,4.1,2691,141,R 2.6
1,14,1758244358.228,1758244361.594667,49,1758244359.382473,75,1758244360.728,1.35,37.01,27.26,22,15.5,16.2,R 7.6,6.8,3350,219,R 5.7
1,15,1758244377.394667,1758244380.794667,50,1758244378.532472,74,1758244379.894667,1.36,16.75,8.92,17.1,11.4,8.3,L 6.0,-6.8,1845,-92,L 1.9
1,16,1758244391.928,1758244395.194667,49,1758244393.032472,74,1758244394.394667,1.36,8.19,4.95,10.6,8.8,12.5,R 0.9,8.3,1625,251,R 1.4
1,17,1758244712.728,1758244715.928,47,1758244713.682472,71,1758244715.094667,1.41,25.58,16.48,19.5,13.3,11.1,L 4.2,-3.6,2711,145,L 1.7
1,18,1758244730.128,1758244733.394667,49,1758244731.282472,74,1758244732.594667,1.31,22,14.45,18,12.4,11.8,L 1.5,-2.7,2692,-18,L 0.7
1,19,1758244742.928,1758244746.194667,48,1758244743.882472,72,1758244745.328,1.45,12.84,6.16,16.6,13.6,6.1,L 1.6,-2.8,971,1,L 0.6
1,20,1758244761.028,1758244763.994667,43,1758244761.882472,66,1758244763.228,1.35,23.26,11.18,22.63,14.9,5.1,R 11.7,-10.2,1193,179,R 4.7
1,21,1758244774.328,1758244777.494667,46,1758244775.332472,70,1758244776.661333,1.33,44.3,25.04,22.1,19.8,21.6,R 3.7,2.9,3771,41,R 3.5
1,22,1758244793.728,1758244796.794667,45,1758244794.632472,68,1758244795.994667,1.36,17.36,10.33,16.7,13.6,9.8,L 4.8,-5.9,2254,-45,L 1.5
1,23,1758244806.394667,1758244809.561333,46,1758244807.332472,68,1758244808.694667,1.36,13.25,6.64,15.4,10.4,7.7,R 5.5,4.9,1310,159,R 1.4
1,24,1758244836.128,1758244839.394667,47,1758244837.132472,71,1758244838.494667,1.36,12.43,6.25,15.1,12.3,7.4,R 13.2,11.9,1179,275,R 2.0
1,25,1758244844.528,1758244847.794667,50,1758244845.682472,75,1758244847.028,1.35,43.83,22.53,22.8,16.5,17.8,L 2.8,-2.2,3990,172,L 1.2
1,26,1758244859.061333,1758244862.261333,47,1758244860.082472,71,1758244861.428,1.35,15.87,6.18,18.7,15.1,3.9,R 23.3,23.7,774,248,R 6.3
1,27,1758244875.728,1758244877.928,27,1758244875.682472,41,1758244877.094667,1.41,17.79,9.37,18,12.2,7.8,R 2.4,0.9,1811,-39,R 0.7
1,28,1758244925.628,1758244929.228,45,1758244926.682472,68,1758244927.894667,1.21,35.02,26.71,20.2,14.8,18.4,L 0.5,-0.8,3960,53,0.3
1,29,1758244939.561333,1758244942.161333,36,1758244939.982472,54,1758244941.361333,1.38,44.16,34.65,21.8,16.3,22.3,R 2.2,1.9,3777,116,R 2.6
1,30,1758244956.328,1758244959.694667,49,1758244957.432472,74,1758244958.794667,1.36,25.37,17.16,19.2,13.3,12,L 1.4,-1.8,2805,6,L 0.6
1,31,1758244975.628,1758244978.794667,48,1758244976.632472,73,1758244978.061333,1.43,25.37,17.16,19.2,13.3,12,L 1.4,-1.8,2803,6,L 0.6
1,32,1758244985.661333,1758244988.928,47,1758244986.632472,71,1758244988.028,1.4,23.92,11.13,19.8,16.8,7.5,R 2.7,5.1,1991,247,R 1.6
1,33,1758245016.561333,1758245019.694667,46,1758245017.482472,69,1758245018.861333,1.38,34.94,25.56,21.2,15,14.8,R 2.1,1.8,3251,130,R 1.7
1,34,1758245031.928,1758245035.061333,47,1758245032.932472,71,1758245034.294667,1.36,21.09,13.13,18.4,15,10,L 9.2,-9.7,2463,-182,L 2.5
1,35,1758245047.128,1758245050.328,48,1758245048.182472,72,1758245049.528,1.35,41.43,32.34,21.8,16.1,19.8,R 2.0,2.6,4098,131,R 3.0
